kelas,hari,tanggal,mata_kuliah,waktu
4ka18,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka18,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka18,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka18,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka18,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka19,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka19,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka19,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka19,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka19,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka19,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka19,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka20,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka20,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka20,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka20,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka20,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka20,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka20,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka21,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka21,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka21,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka21,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka21,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka21,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka21,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka22,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,19.00 - 20.00
4ka22,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,19.00 - 20.00
4ka22,Rabu,30 Juli 2025,Sistem Informasi Perbankan,20.15 - 21.15
4ka22,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,19.00 - 20.00
4ka22,Kamis,31 Juli 2025,Sistem Informasi SDM,20.15 - 21.15
4ka22,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,19.00 - 20.00
4ka22,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,20.15 - 21.15
4ka23,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka23,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka23,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka23,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka23,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka23,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka23,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka24,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
