input_kelas,kelas,hari,mata_kuliah,waktu,ruang,dosen,berlaku_mulai
3ka18,3KA18B,Selasa,Tatap Muka Penulisan Ilmiah,7/8,E236,ETY SUTANTY,07 Jul 2025
3ka18,3KA18A,Selasa,Tatap Muka Penulisan Ilmiah,7/8,E236,ORITA DWI PURBIYANTI,07 Jul 2025
3ka18,3KA18C,Selasa,Tatap Muka Penulisan Ilmiah,7/8,E236,SUSI WIDAYATI,07 Jul 2025
3ka18,3KA18,Rabu,Sistem Berbasis Pengetahuan **,3/4,E336,DINA ANGGRAINI,07 Jul 2025
3ka18,3KA18,Rabu,Disain&Manaj. Jaringan Komputer*,6/7/8,E342,ULFA HIDAYATI,07 Jul 2025
3ka18,3KA18,Rabu,Pengantar Sain Data,9/10,E342,SHAFIRA ADRIZAYANI,07 Jul 2025
3ka18,3KA18,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka18,3KA18,Sabtu,Grafik Komputer & Peng. Citra **,1/2,G316,BUDI SETIAWAN2/SAYIDATI KARIMA,07 Jul 2025
3ka18,3KA18,Sabtu,Pemodelan & Visualisasi Data,3/4,G316,I WAYAN KRISHNA DARMA,07 Jul 2025
3ka19,3KA19,Selasa,Praktikum Terapan Teori Graf,1/2,,TIM DOSEN,07 Jul 2025
3ka19,3KA19,Rabu,Pengantar Sain Data,1/2,E449,ANTONIUS ANGGA KURNIAWAN,07 Jul 2025
3ka19,3KA19,Rabu,Pemodelan & Visualisasi Data,3/4,E449,PIPIT DEWI ARNESIA,07 Jul 2025
3ka19,3KA19,Rabu,Pengantar Akuntansi Keuangan 2,6/7,E512,DYAH MIETA SETYAWATI,07 Jul 2025
3ka19,3KA19,Rabu,Sistem Berbasis Pengetahuan **,8/9,E512,KOKO BACHRUDIN,07 Jul 2025
3ka19,3KA19,Kamis,Grafik Komputer & Peng. Citra **,1/2,E425,ANNA FITRIA,07 Jul 2025
3ka19,3KA19,Kamis,Disain&Manaj. Jaringan Komputer*,4/5/6,E244,GANENDRA/ULFA HIDAYATI,07 Jul 2025
3ka19,3KA19A,Kamis,Tatap Muka Penulisan Ilmiah,8/9,E442,NOOR VIKA HIZVIANI,07 Jul 2025
3ka19,3KA19B,Kamis,Tatap Muka Penulisan Ilmiah,8/9,E442,REVIDA IRIANA NAPITUPULU,07 Jul 2025
3ka19,3KA19C,Kamis,Tatap Muka Penulisan Ilmiah,8/9,E442,WITTA LISTIYA NINGRUM,07 Jul 2025
3ka19,3KA19,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka19,3KA19,Sabtu,Analisis&Peranc.Sistem Inf.*/**,1/2/3,E235,OVAN SUNARTO PULU,07 Jul 2025
3ka20,3KA20,Selasa,Disain&Manaj. Jaringan Komputer*,1/2/3,E213,ARIES MUSLIM,07 Jul 2025
3ka20,3KA20,Selasa,Analisis&Peranc.Sistem Inf.*/**,4/5/6,E213,FEBRIANI,07 Jul 2025
3ka20,3KA20,Selasa,Pengantar Akuntansi Keuangan 2,8/9,E213,WIDADA,07 Jul 2025
3ka20,3KA20,Rabu,Pemodelan & Visualisasi Data,1/2,E228,PIPIT DEWI ARNESIA,07 Jul 2025
3ka20,3KA20,Rabu,Grafik Komputer & Peng. Citra **,3/4,E228,ACHMAD BENNY MUTIARA QN,07 Jul 2025
3ka20,3KA20,Rabu,Sistem Berbasis Pengetahuan **,6/7,E247,KOKO BACHRUDIN,07 Jul 2025
3ka20,3KA20,Rabu,Pengantar Sain Data,8/9,E247,ANTONIUS ANGGA KURNIAWAN,07 Jul 2025
3ka20,3KA20,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka20,3KA20A,Sabtu,Tatap Muka Penulisan Ilmiah,4/5,D622,ALBERTUS BAYU AJI PRIYONO,07 Jul 2025
3ka20,3KA20B,Sabtu,Tatap Muka Penulisan Ilmiah,4/5,D622,MOH. YUNUS,07 Jul 2025
3ka20,3KA20C,Sabtu,Tatap Muka Penulisan Ilmiah,4/5,D622,RIZKI ARIYANI,07 Jul 2025
3ka20,3KA20,Sabtu,Praktikum Terapan Teori Graf,6/7,,TIM DOSEN,07 Jul 2025
3ka21,3KA21,Senin,Pengantar Sain Data,1/2,B312,MUFNI ALIDA,07 Jul 2025
3ka21,3KA21,Senin,Pengantar Akuntansi Keuangan 2,3/4,B312,WIGIYANTI,07 Jul 2025
3ka21,3KA21,Senin,Praktikum Terapan Teori Graf,6/7,,TIM DOSEN,07 Jul 2025
3ka21,3KA21,Kamis,Sistem Berbasis Pengetahuan **,1/2,B223,DINI TRIASANTI,07 Jul 2025
3ka21,3KA21,Kamis,Analisis&Peranc.Sistem Inf.*/**,4/5/6,B223,ELYNA FAZRIYATI,07 Jul 2025
3ka21,3KA21A,Kamis,Tatap Muka Penulisan Ilmiah,9/10,B223,BAMBANG YULIANTO,07 Jul 2025
3ka21,3KA21B,Kamis,Tatap Muka Penulisan Ilmiah,9/10,B223,NATALLIOS PETER SIPASULTA,07 Jul 2025
3ka21,3KA21,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka21,3KA21,Sabtu,Grafik Komputer & Peng. Citra **,1/2,B223,JUNAEDI,07 Jul 2025
3ka21,3KA21,Sabtu,Disain&Manaj. Jaringan Komputer*,5/6/7,B312,SYIFA NURANI RAHMAYANTI,07 Jul 2025
3ka21,3KA21,Sabtu,Pemodelan & Visualisasi Data,8/9,B312,MARIA SRI WULANDARI,07 Jul 2025
3ka22,3KA22B,Senin,Tatap Muka Penulisan Ilmiah,3/4,B223,EMELLIKA RAHMAYANA,07 Jul 2025
3ka22,3KA22A,Senin,Tatap Muka Penulisan Ilmiah,3/4,B223,LULU CHAERANI MUNGGARAN,07 Jul 2025
3ka22,3KA22,Senin,Pengantar Sain Data,6/7,B223,MUFNI ALIDA,07 Jul 2025
3ka22,3KA22,Senin,Pengantar Akuntansi Keuangan 2,8/9,B223,WIGIYANTI,07 Jul 2025
3ka22,3KA22,Kamis,Analisis&Peranc.Sistem Inf.*/**,1/2/3,B313,ELYNA FAZRIYATI,07 Jul 2025
3ka22,3KA22,Kamis,Grafik Komputer & Peng. Citra **,4/5,B313,SYALIS IBNIH MELATI ISTINI,07 Jul 2025
3ka22,3KA22,Kamis,Sistem Berbasis Pengetahuan **,7/8,B313,DINI TRIASANTI,07 Jul 2025
3ka22,3KA22,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka22,3KA22,Sabtu,Praktikum Terapan Teori Graf,3/4,,TIM DOSEN,07 Jul 2025
3ka22,3KA22,Sabtu,Pemodelan & Visualisasi Data,6/7,B211,MARIA SRI WULANDARI,07 Jul 2025
3ka22,3KA22,Sabtu,Disain&Manaj. Jaringan Komputer*,8/9/10,B211,SYIFA NURANI RAHMAYANTI,07 Jul 2025
3ka23,3KA23,Senin,Pengantar Sain Data,3/4,B313,MUFNI ALIDA,07 Jul 2025
3ka23,3KA23,Senin,Pengantar Akuntansi Keuangan 2,5/6,B313,WIGIYANTI,07 Jul 2025
3ka23,3KA23,Senin,Praktikum Terapan Teori Graf,8/9,,TIM DOSEN,07 Jul 2025
3ka23,3KA23,Kamis,Sistem Berbasis Pengetahuan **,4/5,B312,DINI TRIASANTI,07 Jul 2025
3ka23,3KA23,Kamis,Grafik Komputer & Peng. Citra **,7/8,B312,SYALIS IBNIH MELATI ISTINI,07 Jul 2025
3ka23,3KA23B,Kamis,Tatap Muka Penulisan Ilmiah,9/10,B312,ALI AKBAR,07 Jul 2025
3ka23,3KA23A,Kamis,Tatap Muka Penulisan Ilmiah,9/10,B312,DIA RAGASARI,07 Jul 2025
3ka23,3KA23,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka23,3KA23,Sabtu,Disain&Manaj. Jaringan Komputer*,1/2/3,B224,YAN RISA ASPI SURURI,07 Jul 2025
3ka23,3KA23,Sabtu,Pemodelan & Visualisasi Data,4/5,B224,JUNAEDI,07 Jul 2025
3ka23,3KA23,Sabtu,Analisis&Peranc.Sistem Inf.*/**,7/8/9,B224,KUWAT SETIYANTO,07 Jul 2025
3ka24,3KA24,Senin,Analisis&Peranc.Sistem Inf.*/**,12/13/14,D631,TRI AGUS RIYADI,07 Jul 2025
3ka24,3KA24,Selasa,Pengantar Sain Data,11/12,D635,ARIEF FADHLURRAHMAN RASYID,07 Jul 2025
3ka24,3KA24B,Rabu,Tatap Muka Penulisan Ilmiah,11/12,D637,DODY PERNADI,07 Jul 2025
3ka24,3KA24A,Rabu,Tatap Muka Penulisan Ilmiah,11/12,D637,IWAN SETIADI,07 Jul 2025
3ka24,3KA24C,Rabu,Tatap Muka Penulisan Ilmiah,11/12,D637,MUJI SANTOSO,07 Jul 2025
3ka24,3KA24,Kamis,Disain&Manaj. Jaringan Komputer*,12/13/14,D633,SETIA WIRAWAN,07 Jul 2025
3ka24,3KA24,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka24,3KA24,Sabtu,Grafik Komputer & Peng. Citra **,1/2,E221,SIWI PRIHATININGSIH,07 Jul 2025
3ka24,3KA24,Sabtu,Praktikum Terapan Teori Graf,11/12,,TIM DOSEN,07 Jul 2025
3ka24,3KA24,Sabtu,Pemodelan & Visualisasi Data,4/5,E318,ARY BIMA KURNIAWAN,07 Jul 2025
3ka24,3KA24,Sabtu,Sistem Berbasis Pengetahuan **,6/7,E318,JALINAS/VIRA YOLANDA,07 Jul 2025
3ka24,3KA24,Sabtu,Pengantar Akuntansi Keuangan 2,8/9,E318,WIDADA,07 Jul 2025
3ka25,3KA25,Selasa,Praktikum Terapan Teori Graf,3/4,,TIM DOSEN,07 Jul 2025
3ka25,3KA25A,Selasa,Tatap Muka Penulisan Ilmiah,9/10,J1116,KHAIRUNNISA RAIHANI,07 Jul 2025
3ka25,3KA25B,Selasa,Tatap Muka Penulisan Ilmiah,9/10,J1116,KUWAT SETIYANTO,07 Jul 2025
3ka25,3KA25C,Selasa,Tatap Muka Penulisan Ilmiah,9/10,J1116,WINARTI,07 Jul 2025
3ka25,3KA25,Rabu,Grafik Komputer & Peng. Citra **,1/2,J1410,WINARTI,07 Jul 2025
3ka25,3KA25,Rabu,Pengantar Akuntansi Keuangan 2,3/4,J1410,JESSICA BARUS,07 Jul 2025
3ka25,3KA25,Rabu,Analisis&Peranc.Sistem Inf.*/**,5/6/7,J1410,IRWAN BASTIAN,07 Jul 2025
3ka25,3KA25,Rabu,Pengantar Sain Data,9/10,J128,JALINAS/MILDA SAFRILA OKTIANA,07 Jul 2025
3ka25,3KA25,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka25,3KA25,Sabtu,Pemodelan & Visualisasi Data,1/2,J1410,MUHAMMAD SHAFARI RAHMAT,07 Jul 2025
3ka25,3KA25,Sabtu,Sistem Berbasis Pengetahuan **,3/4,J1410,BUDI UTAMI FAHNUN,07 Jul 2025
3ka25,3KA25,Sabtu,Disain&Manaj. Jaringan Komputer*,6/7/8,J1410,DIMAS NUGEROHO,07 Jul 2025
3ka26,3KA26,Senin,Praktikum Terapan Teori Graf,3/4,,TIM DOSEN,07 Jul 2025
3ka26,3KA26,Selasa,Sistem Berbasis Pengetahuan **,1/2,J118,DINI TRIASANTI,07 Jul 2025
3ka26,3KA26,Selasa,Pengantar Akuntansi Keuangan 2,3/4,J118,NIDA NUSAIBATUL ADAWIYAH,07 Jul 2025
3ka26,3KA26,Selasa,Analisis&Peranc.Sistem Inf.*/**,6/7/8,J129,MARLIZA GANEFI GUMAY,07 Jul 2025
3ka26,3KA26A,Rabu,Tatap Muka Penulisan Ilmiah,1/2,J148,ADAM HUDA NUGRAHA,07 Jul 2025
3ka26,3KA26C,Rabu,Tatap Muka Penulisan Ilmiah,1/2,J148,FARAMITA DWITAMA,07 Jul 2025
3ka26,3KA26B,Rabu,Tatap Muka Penulisan Ilmiah,1/2,J148,INDAH TRI HANDAYANI,07 Jul 2025
3ka26,3KA26,Rabu,Pemodelan & Visualisasi Data,3/4,J1519,NUR ALFIYANI,07 Jul 2025
3ka26,3KA26,Rabu,Grafik Komputer & Peng. Citra **,5/6,J1519,ATIT PERTIWI,07 Jul 2025
3ka26,3KA26,Rabu,Pengantar Sain Data,7/8,J1519,JALINAS/MILDA SAFRILA OKTIANA,07 Jul 2025
3ka26,3KA26,Kamis,Disain&Manaj. Jaringan Komputer*,3/4/5,J158,ISRAM RASAL,07 Jul 2025
3ka26,3KA26,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka27,3KA27A,Senin,Tatap Muka Penulisan Ilmiah,6/7,J138,MITA LAILASARI,07 Jul 2025
3ka27,3KA27C,Senin,Tatap Muka Penulisan Ilmiah,6/7,J138,RR ARTIANA KRESTIANTI,07 Jul 2025
3ka27,3KA27B,Senin,Tatap Muka Penulisan Ilmiah,6/7,J138,WALIYA RAHMAWANTI,07 Jul 2025
3ka27,3KA27,Selasa,Praktikum Terapan Teori Graf,3/4,,TIM DOSEN,07 Jul 2025
3ka27,3KA27,Rabu,Pemodelan & Visualisasi Data,1/2,J1115A,LILIS KUSNITAWATI,07 Jul 2025
3ka27,3KA27,Rabu,Pengantar Sain Data,3/4,J1115A,OCTAVIANI HUTAPEA,07 Jul 2025
3ka27,3KA27,Rabu,Grafik Komputer & Peng. Citra **,5/6,J1115A,WINARTI,07 Jul 2025
3ka27,3KA27,Rabu,Analisis&Peranc.Sistem Inf.*/**,8/9/10,J1410,IRWAN BASTIAN,07 Jul 2025
3ka27,3KA27,Kamis,Sistem Berbasis Pengetahuan **,1/2,J61005,HANUM PUTRI PERMATASARI,07 Jul 2025
3ka27,3KA27,Kamis,Disain&Manaj. Jaringan Komputer*,3/4/5,J61005,FITRIANINGSIH,07 Jul 2025
3ka27,3KA27,Kamis,Pengantar Akuntansi Keuangan 2,7/8,J61003,RIZKI MUTI AGUSTIANI,07 Jul 2025
3ka27,3KA27,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka28,3KA28,Selasa,Praktikum Terapan Teori Graf,1/2,,TIM DOSEN,07 Jul 2025
3ka28,3KA28,Rabu,Pengantar Akuntansi Keuangan 2,1/2,J153,JESSICA BARUS,07 Jul 2025
3ka28,3KA28,Rabu,Pemodelan & Visualisasi Data,3/4,J153,LILIS KUSNITAWATI,07 Jul 2025
3ka28,3KA28,Rabu,Pengantar Sain Data,5/6,J153,OCTAVIANI HUTAPEA,07 Jul 2025
3ka28,3KA28,Rabu,Grafik Komputer & Peng. Citra **,8/9,J153,WINARTI,07 Jul 2025
3ka28,3KA28,Kamis,Sistem Berbasis Pengetahuan **,1/2,J61007,NURUL HIDAYATI NUSYIRWAN,07 Jul 2025
3ka28,3KA28,Kamis,Analisis&Peranc.Sistem Inf.*/**,5/6/7,J61007,IRWAN BASTIAN,07 Jul 2025
3ka28,3KA28,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka28,3KA28,Sabtu,Disain&Manaj. Jaringan Komputer*,3/4/5,J1115B,ANDRE PRATAMA,07 Jul 2025
3ka28,3KA28B,Sabtu,Tatap Muka Penulisan Ilmiah,6/7,J128,DEVI INDRIANI,07 Jul 2025
3ka28,3KA28C,Sabtu,Tatap Muka Penulisan Ilmiah,6/7,J128,DEWI ANDRYANI,07 Jul 2025
3ka28,3KA28A,Sabtu,Tatap Muka Penulisan Ilmiah,6/7,J128,MAKMUN,07 Jul 2025
3ka29,3KA29,Senin,Praktikum Terapan Teori Graf,1/2,,TIM DOSEN,07 Jul 2025
3ka29,3KA29,Selasa,Grafik Komputer & Peng. Citra **,3/4,J123,WINARTI,07 Jul 2025
3ka29,3KA29,Selasa,Pengantar Akuntansi Keuangan 2,5/6,J123,NIDA NUSAIBATUL ADAWIYAH,07 Jul 2025
3ka29,3KA29C,Selasa,Tatap Muka Penulisan Ilmiah,7/8,J1116,ARIMBI KURNIASARI,07 Jul 2025
3ka29,3KA29B,Selasa,Tatap Muka Penulisan Ilmiah,7/8,J1116,RADEN ANDHIKA PRIHESTIRA HARTADI,07 Jul 2025
3ka29,3KA29A,Selasa,Tatap Muka Penulisan Ilmiah,7/8,J1116,WIWIED WIDIYANINGSIH,07 Jul 2025
3ka29,3KA29,Kamis,Sistem Berbasis Pengetahuan **,6/7,J61005,HANUM PUTRI PERMATASARI,07 Jul 2025
3ka29,3KA29,Kamis,Analisis&Peranc.Sistem Inf.*/**,8/9/10,J61005,IRWAN BASTIAN,07 Jul 2025
3ka29,3KA29,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka29,3KA29,Sabtu,Disain&Manaj. Jaringan Komputer*,3/4/5,J61007,NYOMAN PARWA DINAWAN,07 Jul 2025
3ka29,3KA29,Sabtu,Pemodelan & Visualisasi Data,6/7,J61007,NUR ALFIYANI,07 Jul 2025
3ka29,3KA29,Sabtu,Pengantar Sain Data,9/10,J61007,FIKRI FADLILLAH,07 Jul 2025
3ka30,3KA30,Senin,Praktikum Terapan Teori Graf,8/9,,TIM DOSEN,07 Jul 2025
3ka30,3KA30,Selasa,Grafik Komputer & Peng. Citra **,1/2,J129,WINARTI,07 Jul 2025
3ka30,3KA30,Selasa,Analisis&Peranc.Sistem Inf.*/**,3/4/5,J129,MARLIZA GANEFI GUMAY,07 Jul 2025
3ka30,3KA30,Selasa,Pengantar Akuntansi Keuangan 2,7/8,J1216B,NIDA NUSAIBATUL ADAWIYAH,07 Jul 2025
3ka30,3KA30C,Selasa,Tatap Muka Penulisan Ilmiah,9/10,J1116,ERTIE NUR HARTIWATI,07 Jul 2025
3ka30,3KA30B,Selasa,Tatap Muka Penulisan Ilmiah,9/10,J1116,WAHYU SUPRIYATIN,07 Jul 2025
3ka30,3KA30A,Selasa,Tatap Muka Penulisan Ilmiah,9/10,J1116,WIDIASTUTI,07 Jul 2025
3ka30,3KA30,Kamis,Sistem Berbasis Pengetahuan **,3/4,J61006,HANUM PUTRI PERMATASARI,07 Jul 2025
3ka30,3KA30,Kamis,Disain&Manaj. Jaringan Komputer*,6/7/8,J61006,FITRIANINGSIH,07 Jul 2025
3ka30,3KA30,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka30,3KA30,Sabtu,Pemodelan & Visualisasi Data,4/5,J61005,NUR ALFIYANI,07 Jul 2025
3ka30,3KA30,Sabtu,Pengantar Sain Data,6/7,J61005,FIKRI FADLILLAH,07 Jul 2025
3ka31,3KA31,Senin,Analisis&Peranc.Sistem Inf.*/**,2/3/4,K265,TAUFIK HIDAYAT,07 Jul 2025
3ka31,3KA31,Senin,Pengantar Akuntansi Keuangan 2,5/6,K2102,WIDADA,07 Jul 2025
3ka31,3KA31A,Senin,Tatap Muka Penulisan Ilmiah,7/8,K163,LELI SAFITRI,07 Jul 2025
3ka31,3KA31B,Rabu,Tatap Muka Penulisan Ilmiah,1/2,K156,DWI SETYASIH,07 Jul 2025
3ka31,3KA31,Rabu,Sistem Berbasis Pengetahuan **,2/3,K284,TRISTYANTI YUSNITASARI,07 Jul 2025
3ka31,3KA31,Kamis,Pemodelan & Visualisasi Data,3/4,K274,SINGGIH JATMIKO,07 Jul 2025
3ka31,3KA31,Kamis,Grafik Komputer & Peng. Citra **,5/6,K264,MUHAMMAD SUBALI,07 Jul 2025
3ka31,3KA31,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka31,3KA31,Jum'at,Praktikum Terapan Teori Graf,6/7,,TIM DOSEN,07 Jul 2025
3ka31,3KA31C,Jum'at,Tatap Muka Penulisan Ilmiah,8/9,K255,MITA LAILASARI,07 Jul 2025
3ka31,3KA31,Sabtu,Pengantar Sain Data,2/3,K247,MUHAMAD TAUFAN,07 Jul 2025
3ka31,3KA31,Sabtu,Disain&Manaj. Jaringan Komputer*,4/5/6,K163,FITRIANINGSIH,07 Jul 2025
3ka32,3KA32A,Senin,Tatap Muka Penulisan Ilmiah,1/2,K266,WITARI ARYUNANI,07 Jul 2025
3ka32,3KA32,Senin,Pengantar Akuntansi Keuangan 2,2/3,K2102,WIDADA,07 Jul 2025
3ka32,3KA32,Senin,Analisis&Peranc.Sistem Inf.*/**,5/6/7,K265,TAUFIK HIDAYAT,07 Jul 2025
3ka32,3KA32,Selasa,Grafik Komputer & Peng. Citra **,3/4,K252,YOGI PERMADI,07 Jul 2025
3ka32,3KA32,Rabu,Disain&Manaj. Jaringan Komputer*,1/2/3,K165,HUSTINAWATY,07 Jul 2025
3ka32,3KA32,Rabu,Pengantar Sain Data,4/5,K284,TRISTYANTI YUSNITASARI,07 Jul 2025
3ka32,3KA32,Kamis,Sistem Berbasis Pengetahuan **,5/6,K242,LILIS KUSNITAWATI,07 Jul 2025
3ka32,3KA32,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka32,3KA32,Jum'at,Praktikum Terapan Teori Graf,6/7,,TIM DOSEN,07 Jul 2025
3ka32,3KA32C,Jum'at,Tatap Muka Penulisan Ilmiah,8/9,K246,MURTIWIYATI,07 Jul 2025
3ka32,3KA32,Sabtu,Pemodelan & Visualisasi Data,3/4,K261,OKTAVIANI,07 Jul 2025
3ka32,3KA32B,Sabtu,Tatap Muka Penulisan Ilmiah,7/8,K154,DEASY INDAYANTI,07 Jul 2025
3ka33,3KA33,Selasa,Pengantar Sain Data,6/7,K153,ARY BIMA KURNIAWAN,07 Jul 2025
3ka33,3KA33,Rabu,Sistem Berbasis Pengetahuan **,1/2,K272,RIZA ADRIANTI SUPONO,07 Jul 2025
3ka33,3KA33,Rabu,Disain&Manaj. Jaringan Komputer*,3/4/5,K268,SETIA WIRAWAN,07 Jul 2025
3ka33,3KA33A,Rabu,Tatap Muka Penulisan Ilmiah,6/7,K252,LIRA ARUM KUSUMANINGTHYAS HUTA,07 Jul 2025
3ka33,3KA33,Kamis,Analisis&Peranc.Sistem Inf.*/**,2/3/4,K161,ANA KURNIAWATI,07 Jul 2025
3ka33,3KA33,Kamis,Pemodelan & Visualisasi Data,5/6,K272,RISMA RAHMALIA FITRIANI,07 Jul 2025
3ka33,3KA33C,Kamis,Tatap Muka Penulisan Ilmiah,8/9,K272,RISMA RAHMALIA FITRIANI,07 Jul 2025
3ka33,3KA33,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka33,3KA33B,Jum'at,Tatap Muka Penulisan Ilmiah,6/7,K281,WIDIASTUTI,07 Jul 2025
3ka33,3KA33,Jum'at,Praktikum Terapan Teori Graf,8/9,,TIM DOSEN,07 Jul 2025
3ka33,3KA33,Sabtu,Grafik Komputer & Peng. Citra **,1/2,K254,RATIH NURDIYANI SARI,07 Jul 2025
3ka33,3KA33,Sabtu,Pengantar Akuntansi Keuangan 2,3/4,K244,LAINA ZAHRA,07 Jul 2025
3ka34,3KA34C,Senin,Tatap Muka Penulisan Ilmiah,1/2,K131,ANNA FITRIA,07 Jul 2025
3ka34,3KA34,Senin,Grafik Komputer & Peng. Citra **,2/3,K131,ANNA FITRIA,07 Jul 2025
3ka34,3KA34,Selasa,Pemodelan & Visualisasi Data,3/4,K153,ARY BIMA KURNIAWAN,07 Jul 2025
3ka34,3KA34,Rabu,Pengantar Sain Data,1/2,K166,MIFTAH ANDRIANSYAH,07 Jul 2025
3ka34,3KA34,Rabu,Sistem Berbasis Pengetahuan **,3/4,K272,RIZA ADRIANTI SUPONO,07 Jul 2025
3ka34,3KA34B,Rabu,Tatap Muka Penulisan Ilmiah,5/6,K292,PUJI SULARSIH,07 Jul 2025
3ka34,3KA34,Kamis,Disain&Manaj. Jaringan Komputer*,1/2/3,K242,LILIS KUSNITAWATI,07 Jul 2025
3ka34,3KA34,Kamis,Analisis&Peranc.Sistem Inf.*/**,5/6/7,K161,ANA KURNIAWATI,07 Jul 2025
3ka34,3KA34,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka34,3KA34A,Jum'at,Tatap Muka Penulisan Ilmiah,6/7,K133,META MEYSAWATI,07 Jul 2025
3ka34,3KA34,Jum'at,Praktikum Terapan Teori Graf,8/9,,TIM DOSEN,07 Jul 2025
3ka34,3KA34,Sabtu,Pengantar Akuntansi Keuangan 2,1/2,K244,LAINA ZAHRA,07 Jul 2025
3ka35,3KA35A,Senin,Tatap Muka Penulisan Ilmiah,8/9,L222,YENI SETIANI,07 Jul 2025
3ka35,3KA35,Selasa,Pemodelan & Visualisasi Data,4/5,L223,REMI SENJAYA,07 Jul 2025
3ka35,3KA35,Rabu,Pengantar Sain Data,2/3,L236,DINY WAHYUNI,07 Jul 2025
3ka35,3KA35,Rabu,Disain&Manaj. Jaringan Komputer*,4/5/6,L242,EMY HARYATMI,07 Jul 2025
3ka35,3KA35,Kamis,Grafik Komputer & Peng. Citra **,1/2,L223,ICHSANI MURSIDAH,07 Jul 2025
3ka35,3KA35,Kamis,Analisis&Peranc.Sistem Inf.*/**,3/4/5,L223,WIDYA SILFIANTI,07 Jul 2025
3ka35,3KA35B,Kamis,Tatap Muka Penulisan Ilmiah,6/7,L225,RINI ARIANTY,07 Jul 2025
3ka35,3KA35,Jum'at,Terapan Teori Graf,,UGTV,TEAM TEACHING,07 Jul 2025
3ka35,3KA35,Jum'at,Praktikum Terapan Teori Graf,8/9,,TIM DOSEN,07 Jul 2025
3ka35,3KA35,Sabtu,Pengantar Akuntansi Keuangan 2,2/3,L235,ANI HIDAYATI,07 Jul 2025
3ka35,3KA35,Sabtu,Sistem Berbasis Pengetahuan **,4/5,L243,NANI MINTARSIH,07 Jul 2025
3ka36,3KA36,Senin,Penulisan Ilmiah/Kerja Praktek,2/3,N1137,,07 Jul 2025
3ka36,3KA36,Senin,Sistem Berbasis Pengetahuan,4/5,N1137,OKTAVIANI,07 Jul 2025
3ka36,3KA36,Senin,Analisis & Perancangan Sistem Informasi*/**,7/8,N1137,RIFKI AMALIA,07 Jul 2025
3ka36,3KA36,Kamis,Grafik Komputer dan Pengolahan Citra,4/5,N1137,SETIA WIRAWAN,07 Jul 2025
3ka36,3KA36,Kamis,Pemodelan & Visualisasi Data**,7/8,N1137,RIZKI ARIYANI,07 Jul 2025
3ka36,3KA36,Kamis,Disain & Manajemen Jaringan Komputer */**,9/10,N1137,ANA KURNIAWATI,07 Jul 2025
3ka36,3KA36,Jumat,Pengantar Sain Data,2/3,N1137,LULU CHAERANI MUNGGARAN,07 Jul 2025
3ka36,3KA36,Jumat,Pengantar Akuntansi Keuangan 2,7'8,N1137,ANIS AULIA MUSLIM,07 Jul 2025
3ka36,3KA36,Jum'at,Praktikum Terapan Teori Graf,8/9,,TIM DOSEN,07 Jul 2025
3ka36,3KA36,Sabtu,Terapan Teori Graf,2/3,N1137,AINI SURI TALITA,07 Jul 2025
4ka01,4KA01,Senin,Peng. Bisnis Teknologi Informa,1/2,F8442,RIFIANA ARIEF,07 Jul 2025
4ka01,4KA01,Senin,Sistem Informasi Geografis,3/4,F8442,SILVIA HARLENA,07 Jul 2025
4ka01,4KA01,Senin,Etika & Profesionalisme TSI,6/7,F8442,KEMAL ADE SEKARWATI,07 Jul 2025
4ka01,4KA01,Senin,Sistem Informasi Perbankan,8/9,F8442,KARTIKA SARI,07 Jul 2025
4ka01,4KA01,Rabu,Bahasa Inggris Bisnis 2,3/4,G138,SEPTIAN DWI PUTRI,07 Jul 2025
4ka01,4KA01,Rabu,Sistem Informasi SDM,6/7,G2410,YULIA EKA PRAPTININGSIH,07 Jul 2025
4ka01,4KA01,Rabu,Audit Teknologi Infomasi,8/9,G2410,NURASIAH,07 Jul 2025
